Province;Electricity;Rate;Year-on-year increase%
Guangdong;49.09181721;2.09634992918;0.194499437352
Sichuan;20.83;0.8894958774480001;1.21125265393
Yunnan;144.962099;6.19026353561;0.601626261305
Total;2341.77588993;100.0;0.298516324458
Tianjin;5.73;0.244686095909;-0.0728155339806
Mengxi;292.29;12.4815530494;0.171690852241
Fujian;49.3;2.10523988277;0.142526071842
Jilin;64.22;2.7423631901;0.104385210662
Liaoning;125.02;5.33868337007;0.15652173913
Hubei;34.07;1.45487875874;0.679980276134
Gansu;133.8;5.71361250132;0.0803391199031
Ningxia;125.73;5.3690022405899995;0.471903535472
Guangxi;12.433021;0.530922751979;1.10940431697
Hainan;5.34530272;0.228258508553;-0.0689675200446
Shaanxi;38.32;1.6363649555400002;0.431453119163
Jiangsu;94.13165;4.01966944851;0.506716511704
Anhui;33.12;1.41431125593;0.688934217236
Tibet;0.14;0.00597836883546;0.0769230769231
Heilongjiang;85.61;3.65577254289;0.21587842636
Beijing;2.87;0.122556561127;0.161943319838
Qinghai;9.93;0.424037160973;0.453879941435
Shandong;142.11;6.0684713943399995;0.205854900297
Meng East;149.13;6.36824388881;0.0610458911419
Zhejiang;22.82;0.9744741201810001;0.42625
Hebei;211.05;9.01239101946;0.289878987899
Shanghai;13.26;0.566236933988;0.371251292658
Shanxi;131.74;5.62564507417;0.35590778098
Chongqing;4.68;0.199848329643;0.570469798658
Xinjiang;213.8;9.12982326445;0.400460540088
Jiangxi;18.2;0.7771879486100001;0.665141811528
Guizhou;51.912;2.21677916419;0.625465373692
Hunan;38.41;1.64020819264;0.779888785913
Henan;17.74;0.757544736722;0.490756302521
